Sample_ID,Date,Site,Location,Type of sample,Water_pH,Water_temp_F,Water_temp_C,Time_collected,Time_until_filtered,Filter_rep,Volume_filtered_ml,Notes,,Date extracted,qPCR_results_dilute10,swab_ITScopies_dilute10,qPCR_results_undiluted,swab_ITScopies_undiluted,swab_ITS_copies_final,Bd_status,Notes
221008-SBT1-PB,10/8/22,Tilden,Stream by trail 1,Passive GF filter in bottle,,,,12:05,46 hours - in fridge,PB,16,collected water in bottle and soaked GF filter in bottle until lab filtration,very muddy could only collect a little water,10/17/22,0,0,0,0,0,NEG,
221008-SBT1-AB,10/8/22,Tilden,Stream by trail 1,Active water filter from small bottle,,,,12:05,46 hours - in fridge,AB,16,collected water in bottle and filtered in lab,very muddy could only collect a little water,10/17/22,0,0,0,0,0,NEG,
221008-SBT1-PT,10/8/22,Tilden,Stream by trail 1,Passive GF filter in teabag,,,,12:05,46 hours - in fridge,PT,NA,soaked GF filter in tea bag for 10 min in the field,,10/17/22,0.0016214,1.6214,0,0,1.6214,POS,only 1/2 replicates positive in 1:10 diluted plate
221008-SBT2-PB,10/8/22,Tilden,Stream by trail 2,Passive GF filter in bottle,,,,12:15,46 hours - in fridge,PB,125,collected water in bottle and soaked GF filter in bottle until lab filtration,,10/17/22,0,0,0,0,0,NEG,
221008-SBT2-AB,10/8/22,Tilden,Stream by trail 2,Active water filter from small bottle,,,,12:15,46 hours - in fridge,AB,125,collected water in bottle and filtered in lab,,10/17/22,0,0,0,0,0,NEG,
221008-SBT2-PT,10/8/22,Tilden,Stream by trail 2,Passive GF filter in teabag,,,,12:15,46 hours - in fridge,PT,NA,soaked GF filter in tea bag for 10 min in the field,,10/17/22,0,0,0,0,0,NEG,
221008-LFP1-PB,10/8/22,Tilden,Little Farm Pond 1,Passive GF filter in bottle,7.91,61.3,16.3,13:15,45 hours - in fridge,PB,110,collected water in bottle and soaked GF filter in bottle until lab filtration,much less water than last time,10/17/22,0,0,0.00313,0.313,0.313,POS,only 1/2 replicates positive in undiluted plate
221008-LFP1-AB,10/8/22,Tilden,Little Farm Pond 1,Active water filter from small bottle,7.91,61.3,16.3,13:15,45 hours - in fridge,AB,110,collected water in bottle and filtered in lab,much less water than last time,10/17/22,0,0,0,0,0,NEG,
221008-LFP1-PT,10/8/22,Tilden,Little Farm Pond 1,Passive GF filter in teabag,7.91,61.3,16.3,13:15,45 hours - in fridge,PT,NA,soaked GF filter in tea bag for 10 min in the field,much less water than last time,10/17/22,0,0,0,0,0,NEG,
221008-LFP3-PB,10/8/22,Tilden,Little Farm Pond 3,Passive GF filter in bottle,6.98,58.5,14.7,13:10,45 hours - in fridge,PB,135,collected water in bottle and soaked GF filter in bottle until lab filtration,lots of duckweed ,10/17/22,0,0,0,0,0,NEG,
221008-LFP3-AB,10/8/22,Tilden,Little Farm Pond 3,Active water filter from small bottle,6.98,58.5,14.7,13:10,45 hours - in fridge,AB,135,collected water in bottle and filtered in lab,lots of duckweed ,10/17/22,0,0,0,0,0,NEG,
221008-LFP3-PT,10/8/22,Tilden,Little Farm Pond 3,Passive GF filter in teabag,6.98,58.5,14.7,13:10,45 hours - in fridge,PT,NA,soaked GF filter in tea bag for 10 min in the field,lots of duckweed ,10/17/22,0,0,0,0,0,NEG,
